key,de,en,it
navbar.project,Projekt,Project,Progetto
navbar.about,Über das Projekt,About the project,Sul progetto
navbar.toc,Editionseinheiten,Edition units,Unità di edizione
navbar.nofacs,Ohne Faksimiles,Without facsimiles,Senza fax
navbar.withfacs,Mit Faksimiles,With facsimiles,Con i fax
navbar.register,Register,Register,Registrati
navbar.persons,Personen,Person,Persone
navbar.places,Orte,Places,Luoghi
navbar.orgs,Organisationen,Institutions,Organizzazioni
navbar.works,Werke,Works,Opere
navbar.search,Suche,Search,Cercare
